epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,3444.13,0.74874,0.43997,0.93954,0.9549,0.92531,0.9806,0.77345,0.83298,0.35846,0.94286,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666
86,3486.41,0.75454,0.44137,0.93884,0.93457,0.94821,0.97777,0.76607,0.82983,0.36134,0.939,0.00101277,0.000337591,0.00101277,0.000337591,0.00101277,0.000337591,0.00101277,0.000337591
87,3528.69,0.75646,0.44477,0.93988,0.94035,0.94399,0.97792,0.76836,0.83323,0.35965,0.9446,0.000997547,0.000332516,0.000997547,0.000332516,0.000997547,0.000332516,0.000997547,0.000332516
88,3571.08,0.74767,0.44134,0.93914,0.9489,0.93287,0.97943,0.7686,0.83811,0.36557,0.95436,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744
89,3613.1,0.74638,0.43909,0.93733,0.95184,0.93313,0.97875,0.76476,0.83884,0.36348,0.95636,0.000967094,0.000322365,0.000967094,0.000322365,0.000967094,0.000322365,0.000967094,0.000322365
90,3655.94,0.74863,0.43827,0.93694,0.95598,0.92732,0.97891,0.76963,0.84043,0.36337,0.94974,0.000951868,0.000317289,0.000951868,0.000317289,0.000951868,0.000317289,0.000951868,0.000317289
91,3698.32,0.74466,0.4361,0.93724,0.93491,0.94416,0.97477,0.76719,0.83443,0.3603,0.94696,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214
92,3740.62,0.75214,0.43754,0.93912,0.95868,0.92595,0.97739,0.76766,0.83185,0.3598,0.94692,0.000921416,0.000307139,0.000921416,0.000307139,0.000921416,0.000307139,0.000921416,0.000307139
93,3783.35,0.74884,0.44074,0.93876,0.95566,0.92594,0.97871,0.76488,0.8373,0.35786,0.94582,0.00090619,0.000302063,0.00090619,0.000302063,0.00090619,0.000302063,0.00090619,0.000302063
94,3825.51,0.75009,0.43608,0.93914,0.95022,0.93002,0.9782,0.766,0.82963,0.36299,0.95553,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988
